"cohort_yymm","cohort_index","cohort_ret_nbr","cohort_ret_pct"
"2019-01-01","0","112","100"
"2019-01-01","1","97","86.60714285714286"
"2019-01-01","2","89","79.46428571428571"
"2019-01-01","3","82","73.21428571428571"
"2019-01-01","4","80","71.42857142857143"
"2019-01-01","5","78","69.64285714285714"
"2019-01-01","6","74","66.07142857142857"
"2019-01-01","7","72","64.28571428571429"
"2019-01-01","8","69","61.607142857142854"
"2019-01-01","9","66","58.92857142857143"
"2019-01-01","10","64","57.142857142857146"
"2019-01-01","11","58","51.785714285714285"
"2019-01-01","12","57","50.892857142857146"
"2019-01-01","13","49","43.75"
"2019-01-01","14","44","39.285714285714285"
"2019-01-01","15","40","35.714285714285715"
"2019-01-01","16","37","33.035714285714285"
"2019-01-01","17","37","33.035714285714285"
"2019-01-01","18","35","31.25"
"2019-01-01","19","30","26.785714285714285"
"2019-01-01","20","22","19.642857142857142"
"2019-01-01","21","18","16.071428571428573"
"2019-01-01","22","5","4.464285714285714"
"2019-01-01","23","4","3.5714285714285716"
"2019-02-01","0","58","100"
"2019-02-01","1","53","91.37931034482759"
"2019-02-01","2","45","77.58620689655173"
"2019-02-01","3","38","65.51724137931035"
"2019-02-01","4","36","62.06896551724138"
"2019-02-01","5","34","58.62068965517241"
"2019-02-01","6","32","55.172413793103445"
"2019-02-01","7","30","51.724137931034484"
"2019-02-01","8","30","51.724137931034484"
"2019-02-01","9","27","46.55172413793103"
"2019-02-01","10","27","46.55172413793103"
"2019-02-01","11","25","43.10344827586207"
"2019-02-01","12","23","39.6551724137931"
"2019-02-01","13","20","34.48275862068966"
"2019-02-01","14","20","34.48275862068966"
"2019-02-01","15","20","34.48275862068966"
"2019-02-01","16","19","32.758620689655174"
"2019-02-01","17","18","31.03448275862069"
"2019-02-01","18","16","27.586206896551722"
"2019-02-01","19","16","27.586206896551722"
"2019-02-01","20","12","20.689655172413794"
"2019-02-01","21","5","8.620689655172415"
"2019-02-01","22","4","6.896551724137931"
"2019-03-01","0","75","100"
"2019-03-01","1","62","82.66666666666667"
"2019-03-01","2","57","76"
"2019-03-01","3","50","66.66666666666667"
"2019-03-01","4","48","64"
"2019-03-01","5","47","62.666666666666664"
